Participant.Private.ID,Response.age,Response.gender,Response.ethnicity,Response.occupation,Response.education,Response.LinkedIn.years,Response.LinkedIn.monthlyuse,Response.LinkedIn.connections,Response.LinkedIn.findingconnections,Response.LinkedIn.jobpostings,Response.LinkedIn.likes,Response.LinkedIn.messaging,Response.LinkedIn.newsfeed,Response.LinkedIn.othersprofiles,Response.LinkedIn.posting,Response.LinkedIn.ownprofile,Response.LinkedIn.successful,Response.LinkedIn.other,LinkedInScore,Response.SocialComparison.lovedones,Response.SocialComparison.doingthings,Response.SocialComparison.welldone,Response.SocialComparison.socialskills,Response.SocialComparison.nocomparison,Response.SocialComparison.achievement,Response.SocialComparison.mutualopinions,Response.SocialComparison.similarproblems,Response.SocialComparison.similarsituation,Response.SocialComparison.learnmore,Response.SocialComparison.relativity,SocialComparisonScore,Response.Impostor.afraidsuccess,Response.Impostor.competence,Response.Impostor.evaluation,Response.Impostor.priaseexpectations,Response.Impostor.rightplaceandtime,Response.Impostor.capabilityimpressions,Response.Impostor.capabilitymemories,Response.Impostor.taskperformance,Response.Impostor.successerror,Response.Impostor.acceptingcompliments,Response.Impostor.successluck,Response.Impostor.accomplishmentdisappointment,Response.Impostor.abilitylack,Response.Impostor.futurefailure,Response.Impostor.repeatingsuccess,Response.Impostor.discountingpraise,Response.Impostor.comparingability,Response.Impostor.successworries,Response.Impostor.sharingrecognition,Response.Impostor.beingthebest,ImpostorScore,na_count
7940870,53,1,4,0,17,10,2,296,0,1,0,0.2,1,0,0,0.1,1,NA,-0.28521689,1,2,1,1,4,4,4,5,5,4,4,35,4,4,4,2,4,4,4,5,2,2,4,4,4,5,2,2,4,4,5,4,73,1
7950846,21,2,4,1,17,3,5,60,1,2,0,0,1,1,0,0,0,NA,-3.546182705,3,4,4,3,4,4,5,5,3,3,4,42,4,4,3,2,2,3,4,2,2,2,2,4,3,4,2,2,5,4,4,3,61,1
7951692,22,2,4,1,15,1,0.5,140,0,0,0,0,0.25,0.25,0,0.01,0,0,-5.23753385,4,5,4,3,4,4,5,5,4,3,5,46,4,3,3,2,4,2,2,3,1,4,3,3,1,2,2,4,5,5,5,5,63,0
7951701,22,2,4,1,15,2,0.5,110,0,0.5,0,0,0,0,0,0,0,job postings and sometimes searching through the companies on linkedin,-4.943496564,4,5,2,5,4,3,5,4,5,3,4,44,5,3,2,2,1,4,1,2,1,1,1,5,2,2,3,4,2,2,4,4,51,0
7951977,20,2,4,1,14,1,15,121,8,3,0,0,8,6,0,1,1,NA,2.455390482,2,4,3,4,4,4,4,4,4,1,4,38,4,4,3,3,4,4,2,2,2,2,4,4,4,4,3,3,3,4,3,4,66,1
7957058,23,1,4,0,16,2,5,348,5,0,0,0,0,0,0,1,0,0,-2.759740722,1,4,4,3,4,4,4,4,4,4,3,39,4,2,2,3,3,3,5,2,1,5,1,2,1,4,4,3,2,3,5,3,58,0
7959214,21,2,4,1,14,3,5,263,1,0,0,0,1,1,0,1,1,0,-1.588171147,2,4,4,4,4,4,4,4,4,4,2,40,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,95,0
7961669,21,1,4,1,15,2,2,320,0.5,0.25,0,0,1,0.25,0,0,1,NA,-2.39425121,1,4,4,3,4,4,4,4,5,3,5,41,3,5,3,5,5,5,4,4,3,4,5,3,5,5,4,3,5,4,2,4,81,1
7964727,21,2,4,1,14,1.5,1,147,0.2,0.4,0,0,0.5,0.1,0,0,0,NA,-4.88792232,5,4,4,4,3,2,4,3,2,2,2,35,4,5,3,2,2,4,4,4,3,5,4,4,4,5,4,4,4,5,4,5,79,1
7966193,21,2,1,1,15,5,4,581,0.5,2,0,0,1,0.5,0,0.083,1,0,-0.594997027,2,2,2,3,2,3,4,4,4,3,3,32,4,4,2,2,1,2,3,2,1,3,1,4,3,1,2,3,2,3,4,2,49,0
