Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
1,1675280767741,01/02/2023 19:46:07,1675280767632,1,01/02/2023 20:46:07,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,BEGIN QUESTIONNAIRE,
2,1675281055999,01/02/2023 19:50:55,1675281055912,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-years,4
3,1675281056133,01/02/2023 19:50:56,1675281055920,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-monthlyuse,25
4,1675281056133,01/02/2023 19:50:56,1675281055920,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-newsfeed,13
5,1675281056133,01/02/2023 19:50:56,1675281055920,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-findingconnections,2
6,1675281056133,01/02/2023 19:50:56,1675281055921,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-jobpostings,7
7,1675281056133,01/02/2023 19:50:56,1675281055921,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-othersprofiles,1
8,1675281056133,01/02/2023 19:50:56,1675281055921,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-messaging,"0,5"
9,1675281056133,01/02/2023 19:50:56,1675281055922,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-posting,1
10,1675281056133,01/02/2023 19:50:56,1675281055922,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-likes,0
