Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
1,1675100165181,30/01/2023 17:36:05,1675100165036,0,30/01/2023 17:36:05,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,BEGIN QUESTIONNAIRE,
2,1675100316191,30/01/2023 17:38:36,1675100315997,0,30/01/2023 17:38:35,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,age,21
3,1675100316264,30/01/2023 17:38:36,1675100316019,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender,Female
4,1675100316264,30/01/2023 17:38:36,1675100316019,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender-quantised,1
5,1675100316264,30/01/2023 17:38:36,1675100316020,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity,White
6,1675100316264,30/01/2023 17:38:36,1675100316020,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-quantised,3
7,1675100316264,30/01/2023 17:38:36,1675100316020,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-text,
8,1675100316264,30/01/2023 17:38:36,1675100316020,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,occupation,student
9,1675100316264,30/01/2023 17:38:36,1675100316020,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,education,17
10,1675100316264,30/01/2023 17:38:36,1675100316020,0,30/01/2023 17:38:36,108492,7,questionnaire-z5r6,,26785442,BLIND,7950846,,complete,,,mobile,Apple iPhone,iOS 16.0,Mobile Safari 16.0,414x896,414x715,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use,Yes
