"Participant.Private.ID","Response.LinkedIn-use","Response.LinkedIn-likes","Response.education","Response.LinkedIn-posting","Response.LinkedIn-ownprofile","Response.LinkedIn-other","Response.LinkedIn-connections","Response.LinkedIn-successful","Response.SocialComparison-lovedones","Response.SocialComparison-doingthings","Response.SocialComparison-welldone","Response.age","Response.LinkedIn-years","Response.SocialComparison-socialskills","Response.SocialComparison-nocomparison","Response.SocialComparison-achievement","Response.SocialComparison-mutualopinions","Response.SocialComparison-similarproblems","Response.gender","Response.LinkedIn-monthlyuse","Response.SocialComparison-similarsituation","Response.SocialComaprison-learnmore","Response.SocialComparison-relativity","Response.Impostor-afraidsuccess","Response.Impostor-competence","Response.Impostor-evaluation","Response.Impostor-priaseexpectations","Response.LinkedIn-newsfeed","Response.occupation","Response.Impostor-rightplaceandtime","Response.Impostor-capabilityimpressions","Response.Impostor-capabilitymemories","Response.Impostor-taskperformance","Response.Impostor-successerror","Response.Impostor-acceptingcompliments","Response.Impostor-successluck","Response.Impostor-accomplishmentdisappointment","Response.Impostor-abilitylack","Response.Impostor-futurefailure","Response.ethnicity","Response.LinkedIn-findingconnections","Response.Impostor-repeatingsuccess","Response.Impostor-discountingpraise","Response.Impostor-comparingability","Response.Impostor-successworries","Response.Impostor-sharingrecognition","Response.Impostor-beingthebest","Response.LinkedIn-jobpostings","Response.LinkedIn-othersprofiles","Response.LinkedIn-messaging","na_count"
7940870,"Yes","0","17","0","0.1",NA,296,"more successful","A","B","A","53","10","A","B","D","D","E","Male","2","E","D","B","4","4","4","2","1","SW Project Manager","4","4","4","5","2","2","4","4","4","5","White","0","2","2","4","4","5","4","1","0","0.2",1
7950846,"Yes","0","17","0","0",NA,60,"equally successful","C","D","D","21","3","C","B","D","E","E","Female","5","C","C","B","4","4","3","2","1","student","2","3","4","2","2","2","2","4","3","4","White","1","2","2","5","4","4","3","2","1","0",1
7951692,"Yes","0","15","0","0.01","No",140,"equally successful","D","E","D","22","1","C","B","D","E","E","Female","0.5","D","C","A","4","3","3","2","0.25","student","4","2","2","3","1","4","3","3","1","2","White","0","2","4","5","5","5","5","0","0.25","0",0
7951701,"Yes","0","15","0","0","job postings and sometimes searching through the companies on linkedin",110,"equally successful","D","E","B","22","2","E","B","C","E","D","Female","0.5","E","C","B","5","3","2","2","0","student","1","4","1","2","1","1","1","5","2","2","White","0","3","4","2","2","4","4","0.5","0","0",0
7951977,"Yes","0","14","0","1",NA,121,"more successful","B","D","C","20","1","D","B","D","D","D","Female","15","D","A","B","4","4","3","3","8","student","4","4","2","2","2","2","4","4","4","4","White","8","3","3","3","4","3","4","3","6","0",1
7957058,"Yes","0","16","0","1","no",348,"equally successful","A","D","D","23","2","C","B","D","D","D","Male","5","D","D","C","4","2","2","3","0","chef","3","3","5","2","1","5","1","2","1","4","White","5","4","3","2","3","5","3","0","0","0",0
7959214,"Yes","0","2","0","1","no",263,"more successful","B","D","D","21","3","D","B","D","D","D","Female","5","D","D","D","4","5","5","5","1","student","4","5","5","5","5","5","5","5","5","5","White","1","4","5","5","5","4","4","0","1","0",0
7961669,"Yes","0","15","0","0",NA,320,"more successful","A","D","D","21","2","C","B","D","D","D","Male","2","E","C","A","3","5","3","5","1","student","5","5","4","4","3","4","5","3","5","5","White","0.5","4","3","5","4","2","4","0.25","0.25","0",1
7964727,"Yes","0","2","0","0",NA,147,"equally successful","E","D","D","21","1.5","D","C","B","D","C","Female","1","B","B","D","4","5","3","2","0.5","student","2","4","4","4","3","5","4","4","4","5","White","0.2","4","4","4","5","4","5","0.4","0.1","0",1
7966193,"Yes","0","15","0","5 minutes","No",581,"more successful","B","B","B","21","5","C","D","C","D","D","Female","4","D","C","C","4","4","2","2","1","Student","1","2","3","2","1","3","1","4","3","1","Asian","Less than 1 hour (30 minutes)","2","3","2","3","4","2","2","Less than 1 hour (30 minutes)","0",0
7966599,"Yes","0","2","0","0.1","0",760,"more successful","D","D","D","21","0.5","C","C","D","D","C","Female","1","D","D","C","4","4","2","2","0","student","4","3","2","3","4","3","4","2","2","4","Mixed or multiple ethnic groups","1","2","4","2","4","3","4","0","0","0",0
